official_engagement_rate,total_posts,account_age_years,post_frequency_per_year,view_count_log,subscriber_count_log,like_count_log,comment_count_log,channel_name_CallMeShazzam TECH,channel_name_GADGETS ONE MALAYALAM TECH TIPS,channel_name_Jayaraj G Nath,channel_name_M4 Tech,channel_name_Malayalam Tech - മലയാളം ടെക്,channel_name_MalayaliPada - Vlogs & Tech Reviews from USA,channel_name_Mallu Discovery TV,channel_name_Mallu Tech,channel_name_Mr Perfect Tech,channel_name_PrathapGTech,channel_name_Ratheesh R Menon,channel_name_Rickyrodger,channel_name_Sarath'S Neon Tech,channel_name_Tec Tok by Hareesh,channel_name_Tech 4 Malayalam,channel_name_Tech Frame Malayalam
0.0008736495712664546,699,9.0,77.66666666666667,12.498675093058274,16.432906463791053,9.36434818445553,5.723585101952381,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0010549634266450053,699,9.0,77.66666666666667,12.670696203109989,16.432906463791053,9.559799343294607,5.605802066295998,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0021736494763759506,699,9.0,77.66666666666667,13.933958261568858,16.432906463791053,10.257869870414977,7.150701457592526,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0010391970044381748,699,9.0,77.66666666666667,13.274412994401255,16.432906463791053,9.539428268486581,5.834810737062605,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0018318246838084171,699,9.0,77.66666666666667,13.72916041685546,16.432906463791053,10.108304187157454,6.313548046277095,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0018654013236933341,699,9.0,77.66666666666667,13.981094485552847,16.432906463791053,10.124428680295138,6.418364935936212,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0002682481556023244,699,9.0,77.66666666666667,11.75456883450899,16.432906463791053,8.188966863648876,4.330733340286331,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0025141604004262482,699,9.0,77.66666666666667,13.854382171727915,16.432906463791053,10.416101576161335,6.959398512133975,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.00038423354859609134,699,9.0,77.66666666666667,12.040543306941593,16.432906463791053,8.553525120663627,4.394449154672439,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.00192861299791146,699,9.0,77.66666666666667,13.639936187627562,16.432906463791053,10.158788468649394,6.408528791059498,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0018052553426820919,699,9.0,77.66666666666667,13.774546886741682,16.432906463791053,10.083431284544119,6.673297967767654,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.002770072790505636,699,9.0,77.66666666666667,14.383412492199824,16.432906463791053,10.507202245764521,7.2254814727822945,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0013337955230806188,699,9.0,77.66666666666667,13.546985152587297,16.432906463791053,9.779000847413124,6.423246963533519,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0022051823207896114,699,9.0,77.66666666666667,14.044030828781287,16.432906463791053,10.293060377975431,6.530877627725885,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0019051093499920183,699,9.0,77.66666666666667,13.609119644315735,16.432906463791053,10.142268204629737,6.56244409369372,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0037807296510416312,699,9.0,77.66666666666667,14.900039473179971,16.432906463791053,10.826475805858005,7.2875606403097235,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0020563502148649476,699,9.0,77.66666666666667,13.716910472349657,16.432906463791053,10.220813375077594,6.558197802812269,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.003154160353710923,699,9.0,77.66666666666667,14.228825442470026,16.432906463791053,10.651667277765442,6.85751406254539,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0008556203755021623,699,9.0,77.66666666666667,13.040118079141436,16.432906463791053,9.352447388601012,5.2832037287379885,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.002335255303995963,699,9.0,77.66666666666667,14.097712894046998,16.432906463791053,10.351405324899678,6.542471960506805,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0018194159255900783,699,9.0,77.66666666666667,13.41941888166175,16.432906463791053,10.099712014499074,6.3835066348840055,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.001530656822579794,699,9.0,77.66666666666667,13.45609328584992,16.432906463791053,9.931686206894806,5.991464547107982,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.003112773495417993,699,9.0,77.66666666666667,14.484993434543277,16.432906463791053,10.640244837223964,6.761572768804055,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.002588393971650075,699,9.0,77.66666666666667,14.166668008492262,16.432906463791053,10.452620010456705,6.71901315438526,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.001615401341941508,699,9.0,77.66666666666667,13.931982512306817,16.432906463791053,9.980865173557472,6.261491684321042,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.002117080137439406,699,9.0,77.66666666666667,14.161009785571625,16.432906463791053,10.251570692406156,6.520621127558696,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0025070071162768526,699,9.0,77.66666666666667,14.708144051063554,16.432906463791053,10.424570390754766,6.508769136971682,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
